Time,Games,Wins,Draws,Losses
2020-11-22T11:07:55.399291,1000,602,118,280
2020-11-22T11:08:00.034244,2000,1170,251,579
2020-11-22T11:08:04.739608,3000,1774,375,851
2020-11-22T11:09:08.325625,1000,577,139,284
2020-11-22T11:09:12.997757,2000,1140,277,583
2020-11-22T11:09:17.764715,3000,1729,413,858
2020-11-22T11:09:22.733076,4000,2331,566,1103
2020-11-22T11:09:27.287774,5000,2904,711,1385
2020-11-22T11:09:31.890544,6000,3474,863,1663
2020-11-22T11:09:36.363163,7000,4047,1008,1945
2020-11-22T11:09:40.832458,8000,4613,1165,2222
2020-11-22T11:09:45.278402,9000,5174,1280,2546
2020-11-22T11:09:50.093724,10000,5733,1440,2827
2020-11-22T11:09:54.664082,11000,6288,1587,3125
2020-11-22T11:09:59.301704,12000,6845,1741,3414
2020-11-22T11:10:04.092443,13000,7419,1882,3699
2020-11-22T11:10:08.658864,14000,7997,2024,3979
2020-11-22T11:10:13.530370,15000,8561,2176,4263
2020-11-22T11:10:18.293655,16000,9130,2322,4548
2020-11-22T11:10:22.815579,17000,9685,2474,4841
2020-11-22T11:10:27.717527,18000,10248,2642,5110
2020-11-22T11:10:32.242858,19000,10816,2784,5400
2020-11-22T11:10:36.772096,20000,11375,2938,5687
2020-11-22T11:10:41.202818,21000,11980,3066,5954
2020-11-22T11:10:45.654293,22000,12536,3233,6231
2020-11-22T11:10:50.066003,23000,13119,3375,6506
2020-11-22T11:10:54.482780,24000,13689,3514,6797
2020-11-22T11:10:59.085021,25000,14247,3675,7078
2020-11-22T11:11:03.573905,26000,14825,3829,7346
2020-11-22T11:11:07.999428,27000,15403,3996,7601
2020-11-22T11:11:12.528265,28000,15968,4148,7884
2020-11-22T11:11:17.098169,29000,16532,4291,8177
2020-11-22T11:11:21.534701,30000,17133,4436,8431
2020-11-22T11:16:30.797235,31000,17693,4585,8722
2020-11-22T11:16:35.321733,32000,18262,4715,9023
2020-11-22T11:16:40.003608,33000,18824,4875,9301
2020-11-22T11:16:44.903064,34000,19382,5025,9593
2020-11-22T11:16:49.405820,35000,19935,5167,9898
2020-11-22T11:16:54.278560,36000,20494,5327,10179
2020-11-22T11:16:58.787082,37000,21054,5471,10475
2020-11-22T11:17:03.665503,38000,21643,5603,10754
2020-11-22T11:17:08.243861,39000,22188,5769,11043
2020-11-22T11:17:12.841727,40000,22743,5930,11327
2020-11-22T11:17:17.451750,41000,23334,6069,11597
2020-11-22T11:17:21.965009,42000,23950,6190,11860
2020-11-22T11:17:26.697430,43000,24499,6353,12148
2020-11-22T11:17:31.497541,44000,25080,6484,12436
2020-11-22T11:17:36.132553,45000,25634,6642,12724
2020-11-22T11:17:40.611425,46000,26175,6788,13037
2020-11-22T11:17:45.282109,47000,26728,6929,13343
2020-11-22T11:17:49.815298,48000,27308,7059,13633
2020-11-22T11:17:54.866481,49000,27846,7219,13935
2020-11-22T11:17:59.689157,50000,28400,7380,14220
2020-11-22T11:18:04.739614,51000,28987,7504,14509
2020-11-22T11:18:09.508610,52000,29550,7645,14805
2020-11-22T11:18:14.066713,53000,30129,7798,15073
2020-11-22T11:18:18.583416,54000,30682,7958,15360
2020-11-22T11:18:23.218790,55000,31237,8103,15660
2020-11-22T11:18:27.743396,56000,31801,8265,15934
2020-11-22T11:18:32.267635,57000,32379,8427,16194
2020-11-22T11:18:36.698065,58000,32964,8581,16455
2020-11-22T11:18:41.143911,59000,33532,8722,16746
2020-11-22T11:18:45.703310,60000,34106,8867,17027
2020-11-22T11:18:50.073437,61000,34663,9012,17325
2020-11-22T11:18:54.496839,62000,35250,9135,17615
2020-11-22T11:18:59.423065,63000,35791,9291,17918
2020-11-22T11:19:04.422690,64000,36345,9446,18209
