Time,Games,Wins,Draws,Losses,Win Rate,Draw Rate,Lose Rate
2020-11-22T16:38:18.154743,1000,619,115,266,0.619,,
2020-11-22T16:38:23.188361,2000,1271,226,503,0.652,0.111,0.237
2020-11-22T16:38:27.599668,3000,1929,320,751,0.658,0.094,0.248
2020-11-22T16:38:31.834772,4000,2580,414,1006,0.651,0.094,0.255
2020-11-22T16:38:36.545199,5000,3228,525,1247,0.648,0.111,0.241
2020-11-22T16:38:41.298499,6000,3876,627,1497,0.648,0.102,0.25
2020-11-22T16:38:45.639916,7000,4534,731,1735,0.658,0.104,0.238
2020-11-22T16:38:50.276482,8000,5236,819,1945,0.702,0.088,0.21
2020-11-22T16:38:54.777451,9000,5931,901,2168,0.695,0.082,0.223
2020-11-22T16:38:59.635467,10000,6631,991,2378,0.7,0.09,0.21
2020-11-22T16:39:04.153409,11000,7331,1094,2575,0.7,0.103,0.197
2020-11-22T16:39:08.769536,12000,8040,1192,2768,0.709,0.098,0.193
2020-11-22T16:39:13.206696,13000,8741,1295,2964,0.701,0.103,0.196
2020-11-22T16:39:17.523150,14000,9463,1381,3156,0.722,0.086,0.192
2020-11-22T16:39:21.849578,15000,10190,1468,3342,0.727,0.087,0.186
2020-11-22T16:39:26.184951,16000,10917,1567,3516,0.727,0.099,0.174
2020-11-22T16:39:30.560247,17000,11660,1659,3681,0.743,0.092,0.165
2020-11-22T16:39:34.893682,18000,12405,1748,3847,0.745,0.089,0.166
2020-11-22T16:39:39.896268,19000,13145,1842,4013,0.74,0.094,0.166
2020-11-22T16:39:44.841801,20000,13893,1931,4176,0.748,0.089,0.163
2020-11-22T16:39:49.563092,21000,14653,2020,4327,0.76,0.089,0.151
2020-11-22T16:39:54.012001,22000,15417,2108,4475,0.764,0.088,0.148
2020-11-22T16:39:58.229446,23000,16181,2181,4638,0.764,0.073,0.163
2020-11-22T16:40:02.464175,24000,16934,2258,4808,0.753,0.077,0.17
2020-11-22T16:40:06.699437,25000,17707,2335,4958,0.773,0.077,0.15
2020-11-22T16:40:11.035572,26000,18491,2420,5089,0.784,0.085,0.131
2020-11-22T16:40:15.350350,27000,19287,2497,5216,0.796,0.077,0.127
