Time,Games,Wins,Draws,Losses,Win Rate
2020-11-22T16:45:29.359706,1000,87772,4245,8983,
2020-11-22T16:45:33.203423,2000,88166,4355,9479,0.394
2020-11-22T16:45:37.135935,3000,88582,4459,9959,0.416
2020-11-22T16:45:41.137201,4000,89018,4573,10409,0.436
2020-11-22T16:45:45.045774,5000,89443,4688,10869,0.425
2020-11-22T16:45:48.942323,6000,89888,4796,11316,0.445
2020-11-22T16:45:52.872810,7000,90334,4895,11771,0.446
2020-11-22T16:45:56.919983,8000,90790,4980,12230,0.456
2020-11-22T16:46:00.908342,9000,91275,5063,12662,0.485
2020-11-22T16:46:04.899638,10000,91745,5172,13083,0.47
2020-11-22T16:46:09.218247,11000,92275,5265,13460,0.53
2020-11-22T16:46:13.514434,12000,92794,5357,13849,0.519
2020-11-22T16:46:17.546676,13000,93313,5437,14250,0.519
2020-11-22T16:46:21.542957,14000,93833,5519,14648,0.52
2020-11-22T16:46:25.436569,15000,94318,5605,15077,0.485
2020-11-22T16:46:29.753994,16000,94865,5680,15455,0.547
2020-11-22T16:46:33.780223,17000,95375,5777,15848,0.51
2020-11-22T16:46:37.682811,18000,95922,5854,16224,0.547
2020-11-22T16:46:41.958347,19000,96460,5926,16614,0.538
2020-11-22T16:46:46.195013,20000,97010,6022,16968,0.55
2020-11-22T16:46:50.666006,21000,97593,6102,17305,0.583
2020-11-22T16:46:55.318662,22000,98187,6192,17621,0.594
2020-11-22T16:46:59.331899,23000,98770,6275,17955,0.583
2020-11-22T16:47:03.830864,24000,99343,6348,18309,0.573
2020-11-22T16:47:08.230096,25000,99946,6427,18627,0.603
2020-11-22T16:47:12.420913,26000,100538,6496,18966,0.592
2020-11-22T16:47:17.041213,27000,101202,6560,19238,0.664
2020-11-22T16:47:21.502115,28000,101789,6652,19559,0.587
2020-11-22T16:47:26.322482,29000,102414,6737,19849,0.625
2020-11-22T16:47:31.463862,30000,103021,6836,20143,0.607
2020-11-22T16:47:36.083472,31000,103650,6914,20436,0.629
2020-11-22T16:47:40.099747,32000,104276,6984,20740,0.626
2020-11-22T16:47:43.996300,33000,104948,7055,20997,0.672
2020-11-22T16:47:47.997936,34000,105587,7153,21260,0.639
2020-11-22T16:47:52.203760,35000,106226,7242,21532,0.639
2020-11-22T16:47:56.142481,36000,106891,7323,21786,0.665
2020-11-22T16:48:00.177528,37000,107575,7384,22041,0.684
2020-11-22T16:48:04.537554,38000,108264,7476,22260,0.689
2020-11-22T16:48:09.004032,39000,108959,7548,22493,0.695
2020-11-22T16:48:12.907457,40000,109639,7632,22729,0.68
2020-11-22T16:48:16.825131,41000,110330,7706,22964,0.691
2020-11-22T16:48:20.725849,42000,111034,7773,23193,0.704
2020-11-22T16:48:24.692179,43000,111748,7836,23416,0.714
2020-11-22T16:48:28.960095,44000,112452,7902,23646,0.704
2020-11-22T16:48:32.956050,45000,113159,7977,23864,0.707
2020-11-22T16:48:36.983985,46000,113908,8052,24040,0.749
2020-11-22T16:48:41.403954,47000,114648,8122,24230,0.74
2020-11-22T16:48:45.491757,48000,115384,8190,24426,0.736
2020-11-22T16:48:49.490787,49000,116099,8284,24617,0.715
2020-11-22T16:48:53.865861,50000,116820,8368,24812,0.721
2020-11-22T16:48:57.860182,51000,117579,8448,24973,0.759
2020-11-22T16:49:01.977743,52000,118355,8505,25140,0.776
2020-11-22T16:49:06.273612,53000,119133,8553,25314,0.778
2020-11-22T16:49:10.499054,54000,119912,8613,25475,0.779
2020-11-22T16:49:14.804902,55000,120691,8686,25623,0.779
2020-11-22T16:49:18.762825,56000,121479,8743,25778,0.788
2020-11-22T16:49:23.053076,57000,122253,8812,25935,0.774
2020-11-22T16:49:27.433423,58000,123058,8865,26077,0.805
2020-11-22T16:49:31.836327,59000,123863,8923,26214,0.805
2020-11-22T16:49:36.025576,60000,124668,8985,26347,0.805
2020-11-22T16:49:40.471612,61000,125510,9039,26451,0.842
2020-11-22T16:49:44.677657,62000,126335,9106,26559,0.825
2020-11-22T16:49:48.675777,63000,127169,9168,26663,0.834
2020-11-22T16:49:52.697810,64000,127975,9246,26779,0.806
2020-11-22T16:49:56.687691,65000,128805,9304,26891,0.83
2020-11-22T16:50:00.716409,66000,129674,9352,26974,0.869
2020-11-22T16:50:04.788574,67000,130505,9421,27074,0.831
2020-11-22T16:50:08.814871,68000,131352,9460,27188,0.847
2020-11-22T16:50:13.079127,69000,132206,9533,27261,0.854
2020-11-22T16:50:17.224723,70000,133065,9588,27347,0.859
2020-11-22T16:50:21.453833,71000,133949,9625,27426,0.884
2020-11-22T16:50:25.669435,72000,134851,9666,27483,0.902
2020-11-22T16:50:29.891876,73000,135752,9714,27534,0.901
2020-11-22T16:50:34.106329,74000,136648,9766,27586,0.896
2020-11-22T16:50:38.263482,75000,137524,9821,27655,0.876
2020-11-22T16:50:42.297487,76000,138423,9878,27699,0.899
2020-11-22T16:50:46.721612,77000,139330,9935,27735,0.907
2020-11-22T16:50:50.997257,78000,140197,10026,27777,0.867
2020-11-22T16:50:55.328378,79000,141104,10085,27811,0.907
2020-11-22T16:50:59.609598,80000,141997,10152,27851,0.893
2020-11-22T16:51:03.775147,81000,142907,10209,27884,0.91
2020-11-22T16:51:08.174894,82000,143790,10278,27932,0.883
2020-11-22T16:51:12.340234,83000,144709,10331,27960,0.919
2020-11-22T16:51:16.526654,84000,145634,10387,27979,0.925
2020-11-22T16:51:20.877067,85000,146550,10448,28002,0.916
2020-11-22T16:51:25.247262,86000,147450,10515,28035,0.9
2020-11-22T16:51:29.926695,87000,148362,10574,28064,0.912
2020-11-22T16:51:34.234724,88000,149267,10647,28086,0.905
2020-11-22T16:51:39.200078,89000,150180,10713,28107,0.913
2020-11-22T16:51:43.700960,90000,151091,10785,28124,0.911
2020-11-22T16:51:48.465761,91000,152007,10845,28148,0.916
2020-11-22T16:51:52.418859,92000,152909,10912,28179,0.902
2020-11-22T16:51:56.364637,93000,153846,10957,28197,0.937
2020-11-22T16:52:00.296149,94000,154760,11018,28222,0.914
2020-11-22T16:52:04.243454,95000,155673,11083,28244,0.913
2020-11-22T16:52:08.192245,96000,156576,11148,28276,0.903
2020-11-22T16:52:12.332953,97000,157499,11207,28294,0.923
2020-11-22T16:52:16.399141,98000,158415,11278,28307,0.916
2020-11-22T16:52:20.384246,99000,159337,11331,28332,0.922
2020-11-22T16:52:24.338479,100000,160256,11397,28347,0.919
