Time,Games,Wins,Draws,Losses,
2020-11-22T18:44:21.578707,1000,611,138,251,
2020-11-22T18:44:26.235873,2000,1224,275,501,0.613
2020-11-22T18:44:30.990162,3000,1886,372,742,0.662
2020-11-22T18:44:35.474900,4000,2574,476,950,0.688
2020-11-22T18:44:40.055791,5000,3217,582,1201,0.643
2020-11-22T18:44:44.642593,6000,3900,701,1399,0.683
2020-11-22T18:44:49.186754,7000,4561,811,1628,0.661
2020-11-22T18:44:53.962872,8000,5252,905,1843,0.691
2020-11-22T18:44:58.446045,9000,5945,995,2060,0.693
2020-11-22T18:45:03.156047,10000,6638,1078,2284,0.693
2020-11-22T18:45:07.737267,11000,7324,1178,2498,0.686
2020-11-22T18:45:12.426454,12000,8053,1283,2664,0.729
2020-11-22T18:45:16.915820,13000,8772,1367,2861,0.719
2020-11-22T18:45:21.602763,14000,9522,1455,3023,0.75
2020-11-22T18:45:26.278784,15000,10222,1564,3214,0.7
2020-11-22T18:45:30.793259,16000,10940,1645,3415,0.718
2020-11-22T18:45:35.272442,17000,11670,1729,3601,0.73
2020-11-22T18:45:39.756173,18000,12400,1817,3783,0.73
2020-11-22T18:45:44.339997,19000,13154,1879,3967,0.754
2020-11-22T18:45:48.795283,20000,13925,1948,4127,0.771
2020-11-22T18:45:53.265543,21000,14666,2041,4293,0.741
2020-11-22T18:45:57.926206,22000,15443,2122,4435,0.777
2020-11-22T18:46:02.309662,23000,16203,2190,4607,0.76
2020-11-22T18:46:06.780946,24000,16992,2256,4752,0.789
2020-11-22T18:46:11.427764,25000,17751,2339,4910,0.759
2020-11-22T18:46:15.940016,26000,18553,2400,5047,0.802
2020-11-22T18:46:20.549415,27000,19332,2485,5183,0.779
2020-11-22T18:46:24.948460,28000,20121,2563,5316,0.789
2020-11-22T18:46:29.705729,29000,20906,2649,5445,0.785
2020-11-22T18:46:34.197636,30000,21702,2723,5575,0.796
2020-11-22T18:46:38.706569,31000,22513,2798,5689,0.811
2020-11-22T18:46:43.137870,32000,23305,2881,5814,0.792
2020-11-22T18:46:47.521441,33000,24143,2948,5909,0.838
2020-11-22T18:46:51.836168,34000,24953,3015,6032,0.81
2020-11-22T18:46:56.331518,35000,25760,3112,6128,0.807
2020-11-22T18:47:00.662346,36000,26593,3174,6233,0.833
2020-11-22T18:47:05.133012,37000,27444,3230,6326,0.851
2020-11-22T18:47:09.488862,38000,28312,3298,6390,0.868
2020-11-22T18:47:13.900525,39000,29152,3369,6479,0.84
2020-11-22T18:47:18.356407,40000,29993,3429,6578,0.841
2020-11-22T18:47:22.899119,41000,30862,3480,6658,0.869
2020-11-22T18:47:27.677275,42000,31734,3525,6741,0.872
2020-11-22T18:47:32.150993,43000,32599,3592,6809,0.865
2020-11-22T18:47:36.875853,44000,33478,3654,6868,0.879
2020-11-22T18:47:41.488298,45000,34366,3705,6929,0.888
2020-11-22T18:47:46.037701,46000,35242,3768,6990,0.876
2020-11-22T18:47:50.697550,47000,36140,3815,7045,0.898
2020-11-22T18:47:55.084768,48000,37037,3857,7106,0.897
2020-11-22T18:47:59.480820,49000,37930,3901,7169,0.893
2020-11-22T18:48:03.962538,50000,38808,3958,7234,0.878
2020-11-22T18:48:08.384944,51000,39706,4007,7287,0.898
2020-11-22T18:48:13.171777,52000,40605,4054,7341,0.899
2020-11-22T18:48:18.132717,53000,41542,4080,7378,0.937
2020-11-22T18:48:22.767288,54000,42440,4129,7431,0.898
2020-11-22T18:48:27.322169,55000,43356,4175,7469,0.916
2020-11-22T18:48:31.871489,56000,44280,4213,7507,0.924
2020-11-22T18:48:36.469617,57000,45186,4266,7548,0.906
2020-11-22T18:48:41.271434,58000,46108,4313,7579,0.922
2020-11-22T18:48:46.085491,59000,47028,4366,7606,0.92
2020-11-22T18:48:50.529124,60000,47940,4419,7641,0.912
2020-11-22T18:48:54.808686,61000,48869,4468,7663,0.929
2020-11-22T18:48:59.107920,62000,49796,4521,7683,0.927
2020-11-22T18:49:03.729242,63000,50744,4556,7700,0.948
2020-11-22T18:49:08.473591,64000,51694,4588,7718,0.95
2020-11-22T18:49:13.103250,65000,52623,4636,7741,0.929
2020-11-22T18:49:17.850354,66000,53566,4681,7753,0.943
2020-11-22T18:49:22.191459,67000,54521,4712,7767,0.955
2020-11-22T18:49:26.960980,68000,55466,4759,7775,0.945
2020-11-22T18:49:31.525957,69000,56419,4796,7785,0.953
2020-11-22T18:49:35.843049,70000,57375,4827,7798,0.956
2020-11-22T18:49:40.358897,71000,58337,4863,7800,0.962
2020-11-22T18:49:44.758218,72000,59288,4912,7800,0.951
2020-11-22T18:49:49.303999,73000,60251,4949,7800,0.963
2020-11-22T18:49:53.908721,74000,61216,4984,7800,0.965
2020-11-22T18:49:58.423815,75000,62181,5019,7800,0.965
2020-11-22T18:50:03.338728,76000,63145,5055,7800,0.964
2020-11-22T18:50:07.952620,77000,64117,5083,7800,0.972
2020-11-22T18:50:12.035329,78000,65091,5109,7800,0.974
2020-11-22T18:50:16.179000,79000,66057,5143,7800,0.966
2020-11-22T18:50:20.812243,80000,67023,5177,7800,0.966
2020-11-22T18:50:24.908044,81000,67989,5211,7800,0.966
2020-11-22T18:50:29.024867,82000,68953,5247,7800,0.964
2020-11-22T18:50:33.427569,83000,69918,5282,7800,0.965
2020-11-22T18:50:37.983187,84000,70885,5315,7800,0.967
2020-11-22T18:50:42.281037,85000,71855,5345,7800,0.97
2020-11-22T18:50:46.416061,86000,72830,5370,7800,0.975
2020-11-22T18:50:50.747073,87000,73799,5401,7800,0.969
2020-11-22T18:50:54.908590,88000,74759,5441,7800,0.96
2020-11-22T18:50:59.184163,89000,75727,5473,7800,0.968
2020-11-22T18:51:03.789238,90000,76692,5508,7800,0.965
