Time,Games,Wins,Draws,Losses
2020-11-22T19:04:04.984409,1000,637,109,254
2020-11-22T19:04:10.325002,2000,1268,237,495
2020-11-22T19:04:15.274653,3000,1935,337,728
2020-11-22T19:04:19.767732,4000,2584,456,960
2020-11-22T19:04:24.218966,5000,3248,579,1173
2020-11-22T19:04:28.769603,6000,3930,681,1389
2020-11-22T19:04:33.094096,7000,4618,772,1610
2020-11-22T19:04:37.470311,8000,5296,879,1825
2020-11-22T19:04:41.764874,9000,5990,990,2020
2020-11-22T19:04:46.106451,10000,6678,1097,2225
2020-11-22T19:04:50.433479,11000,7397,1183,2420
2020-11-22T19:04:54.778701,12000,8112,1260,2628
2020-11-22T19:04:59.072562,13000,8839,1355,2806
2020-11-22T19:05:03.508673,14000,9576,1432,2992
2020-11-22T19:05:07.784240,15000,10306,1526,3168
2020-11-22T19:05:12.083836,16000,11034,1606,3360
2020-11-22T19:05:16.605666,17000,11782,1695,3523
2020-11-22T19:05:20.932948,18000,12516,1775,3709
2020-11-22T19:05:25.436782,19000,13249,1862,3889
2020-11-22T19:05:29.707696,20000,14001,1944,4055
2020-11-22T19:05:34.319548,21000,14747,2028,4225
2020-11-22T19:05:38.691167,22000,15484,2131,4385
2020-11-22T19:05:43.104529,23000,16258,2216,4526
2020-11-22T19:05:47.394679,24000,17000,2309,4691
2020-11-22T19:05:51.693881,25000,17776,2388,4836
2020-11-22T19:05:56.029898,26000,18568,2468,4964
2020-11-22T19:06:00.414810,27000,19343,2543,5114
2020-11-22T19:06:04.706190,28000,20126,2633,5241
2020-11-22T19:06:08.951196,29000,20919,2704,5377
2020-11-22T19:06:13.357562,30000,21708,2770,5522
2020-11-22T19:06:17.573181,31000,22513,2825,5662
2020-11-22T19:06:21.929776,32000,23325,2890,5785
2020-11-22T19:06:26.261108,33000,24131,2954,5915
2020-11-22T19:06:30.624057,34000,24962,3018,6020
2020-11-22T19:06:35.019706,35000,25771,3080,6149
2020-11-22T19:06:39.307414,36000,26622,3139,6239
2020-11-22T19:06:43.752134,37000,27453,3207,6340
2020-11-22T19:06:47.938943,38000,28277,3273,6450
2020-11-22T19:06:52.186294,39000,29132,3325,6543
2020-11-22T19:06:56.387029,40000,29958,3387,6655
2020-11-22T19:07:00.584285,41000,30819,3443,6738
2020-11-22T19:07:04.795563,42000,31688,3499,6813
2020-11-22T19:07:09.106516,43000,32560,3550,6890
2020-11-22T19:07:13.284076,44000,33437,3588,6975
2020-11-22T19:07:17.633311,45000,34274,3643,7083
2020-11-22T19:07:21.802170,46000,35172,3691,7137
2020-11-22T19:07:25.948249,47000,36068,3736,7196
2020-11-22T19:07:30.161452,48000,36969,3777,7254
2020-11-22T19:07:34.476695,49000,37832,3836,7332
2020-11-22T19:07:38.719365,50000,38721,3887,7392
2020-11-22T19:07:43.080510,51000,39617,3936,7447
2020-11-22T19:07:47.312663,52000,40510,3989,7501
2020-11-22T19:07:51.790625,53000,41419,4045,7536
2020-11-22T19:07:55.929525,54000,42341,4085,7574
2020-11-22T19:08:00.168391,55000,43274,4118,7608
